league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected_shooting,Expected_shooting,Expected_shooting,Expected_shooting,Expected_shooting,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Performance_misc,Aerial Duels,Aerial Duels,Aerial Duels,stat_type_misc
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2024,Torino,Aaron Ciammaglichella,ITA,MF,20-075,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,20-075,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,20-075,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Bologna,Aaron Hickey,SCO,DF,18,2002,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21,36,28,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,standard,SCO,DF,18,2002,8.4,337,397,84.9,5489,1742,160,174,92.0,142,165,86.1,21,34,61.8,0,0.1,0.2,-0.1,2,30,3,1,36,passing,SCO,DF,18,2002,8.4,0,2,0,0.0,0.24,0.0,0.0,,29.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,SCO,DF,18,2002,8.4,495,26,149,235,115,8,495,16,7,43.8,9,56.3,282,1610,739,21,17,4,16,8,268,28,possession,SCO,DF,18,2002,8.4,12,8,10,2,0,7,17,41.2,10,6,1,5,15,27,15,1,defense,SCO,DF,18,2002,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5,misc
ITA-Serie A,2021,Bologna,Aaron Hickey,SCO,DF,18,2002,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21,36,28,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,standard,SCO,DF,18,2002,8.4,337,397,84.9,5489,1742,160,174,92.0,142,165,86.1,21,34,61.8,0,0.1,0.2,-0.1,2,30,3,1,36,passing,SCO,DF,18,2002,8.4,0,2,0,0.0,0.24,0.0,0.0,,29.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,SCO,DF,18,2002,8.4,495,26,149,235,115,8,495,16,7,43.8,9,56.3,282,1610,739,21,17,4,16,8,268,28,possession,SCO,DF,18,2002,8.4,12,8,10,2,0,7,17,41.2,10,6,1,5,15,27,15,1,defense,SCO,DF,18,2002,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5,misc
FRA-Ligue 1,2020,Metz,Aaron Leya Iseka,BEL,FW,22,1997,21,12,1008,11.2,4,0,4,2,2,3,4,0,4.8,2.5,0.6,3.0,13,12,51,0.36,0.0,0.36,0.18,0.18,0.43,0.05,0.48,0.22,0.27,standard,BEL,FW,22,1997,11.2,141,192,73.4,1753,277,89,106,84.0,29,46,63.0,6,9,66.7,0,0.6,0.4,-0.6,12,12,1,0,12,passing,BEL,FW,22,1997,11.2,4,17,6,35.3,1.52,0.54,0.12,0.33,15.5,0,2,3,4.8,2.5,0.14,-0.8,-0.5,shooting,BEL,FW,22,1997,11.2,293,10,25,152,119,32,290,19,11,57.9,8,42.1,177,923,361,13,12,10,35,19,245,51,possession,BEL,FW,22,1997,11.2,6,4,2,3,1,0,4,0.0,4,4,2,2,0,6,6,0,defense,BEL,FW,22,1997,11.2,4,0,0,26,12,3,2,0,4,0,0,0,21,29,41,41.4,misc
FRA-Ligue 1,2021,Metz,Aaron Leya Iseka,BEL,FW,22,1997,21,12,1008,11.2,4,0,4,2,2,3,4,0,4.8,2.5,0.6,3.0,13,12,51,0.36,0.0,0.36,0.18,0.18,0.43,0.05,0.48,0.22,0.27,standard,BEL,FW,22,1997,11.2,141,192,73.4,1753,277,89,106,84.0,29,46,63.0,6,9,66.7,0,0.6,0.4,-0.6,12,12,1,0,12,passing,BEL,FW,22,1997,11.2,4,17,6,35.3,1.52,0.54,0.12,0.33,15.5,0,2,3,4.8,2.5,0.14,-0.8,-0.5,shooting,BEL,FW,22,1997,11.2,293,10,25,152,119,32,290,19,11,57.9,8,42.1,177,923,361,13,12,10,35,19,245,51,possession,BEL,FW,22,1997,11.2,6,4,2,3,1,0,4,0.0,4,4,2,2,0,6,6,0,defense,BEL,FW,22,1997,11.2,4,0,0,26,12,3,2,0,4,0,0,0,21,29,41,41.4,misc
FRA-Ligue 1,2023,Lille,Aaron Malouda,FRA,FW,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,17,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,17,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2024,Lille,Aaron Malouda,FRA,FW,19-132,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,19-132,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,19-132,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,FW,19-132,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,1,3,0,0,0,0,0,1,1,0,possession,FRA,FW,19-132,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,FW,19-132,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Juventus,Aaron Ramsey,WAL,MF,29,1990,22,13,1089,12.1,2,4,6,2,0,0,2,0,4.2,4.2,3.3,7.5,38,72,96,0.17,0.33,0.5,0.17,0.5,0.35,0.27,0.62,0.35,0.62,standard,WAL,MF,29,1990,12.1,622,728,85.4,9585,2443,328,365,89.9,217,241,90.0,48,65,73.8,4,3.3,2.0,0.7,31,57,21,5,72,passing,WAL,MF,29,1990,12.1,2,24,11,45.8,1.98,0.91,0.08,0.18,14.5,0,0,0,4.2,4.2,0.17,-2.2,-2.2,shooting,WAL,MF,29,1990,12.1,858,18,115,423,323,62,858,13,10,76.9,3,23.1,492,2681,1181,38,25,13,30,9,698,96,possession,WAL,MF,29,1990,12.1,22,14,8,13,1,8,25,32.0,17,13,2,11,7,29,8,2,defense,WAL,MF,29,1990,12.1,2,0,0,19,18,3,22,7,14,1,0,0,56,8,13,38.1,misc
ITA-Serie A,2021,Juventus,Aaron Ramsey,WAL,MF,29,1990,22,13,1089,12.1,2,4,6,2,0,0,2,0,4.2,4.2,3.3,7.5,38,72,96,0.17,0.33,0.5,0.17,0.5,0.35,0.27,0.62,0.35,0.62,standard,WAL,MF,29,1990,12.1,622,728,85.4,9585,2443,328,365,89.9,217,241,90.0,48,65,73.8,4,3.3,2.0,0.7,31,57,21,5,72,passing,WAL,MF,29,1990,12.1,2,24,11,45.8,1.98,0.91,0.08,0.18,14.5,0,0,0,4.2,4.2,0.17,-2.2,-2.2,shooting,WAL,MF,29,1990,12.1,858,18,115,423,323,62,858,13,10,76.9,3,23.1,492,2681,1181,38,25,13,30,9,698,96,possession,WAL,MF,29,1990,12.1,22,14,8,13,1,8,25,32.0,17,13,2,11,7,29,8,2,defense,WAL,MF,29,1990,12.1,2,0,0,19,18,3,22,7,14,1,0,0,56,8,13,38.1,misc
FRA-Ligue 1,2022,Nice,Aaron Ramsey,WAL,MF,31,1990,27,18,1584,17.6,1,1,2,1,0,0,3,0,2.5,2.5,1.8,4.3,29,126,84,0.06,0.06,0.11,0.06,0.11,0.14,0.1,0.24,0.14,0.24,standard,WAL,MF,31,1990,17.6,915,1088,84.1,16069,3809,398,431,92.3,382,444,86.0,100,159,62.9,1,1.8,2.0,-0.8,28,88,20,3,126,passing,WAL,MF,31,1990,17.6,1,22,6,27.3,1.25,0.34,0.05,0.17,15.3,1,0,0,2.5,2.5,0.11,-1.5,-1.5,shooting,WAL,MF,31,1990,17.6,1279,43,208,723,361,50,1279,24,14,58.3,5,20.8,980,4866,1934,29,34,8,24,32,902,84,possession,WAL,MF,31,1990,17.6,47,25,18,19,10,16,39,41.0,23,25,4,21,17,64,18,1,defense,WAL,MF,31,1990,17.6,3,0,0,23,18,3,62,17,25,1,0,0,115,6,12,33.3,misc
GER-Bundesliga,2023,Darmstadt 98,Aaron Seydel,GER,FW,27,1996,16,5,619,6.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,7,10,35,0.15,0.0,0.15,0.15,0.15,0.15,0.1,0.25,0.15,0.25,standard,GER,FW,27,1996,6.9,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,passing,GER,FW,27,1996,6.9,1,14,6,42.9,2.04,0.87,0.07,0.17,16.8,0,0,0,1.0,1.0,0.07,0.0,0.0,shooting,GER,FW,27,1996,6.9,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,possession,GER,FW,27,1996,6.9,3,2,0,2,1,0,3,0.0,3,8,2,6,1,4,9,0,defense,GER,FW,27,1996,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2,misc
GER-Bundesliga,2022,Augsburg,Aaron Zehnter,GER,DF,17,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,DF,17,2004,0.0,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GER,DF,17,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,DF,17,2004,0.0,3,0,1,2,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,GER,DF,17,2004,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,defense,GER,DF,17,2004,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,misc
