player,season,league,team,nation,pos,age,born,Playing Time MP,Playing Time Starts,Minutes de jeu,Playing Time 90s,G,A,Performance G+A,G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,xG,Expected npxG,xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocs_totaux,Blocks Sh,Blocks Pass,Interceptions,Tkl+Int,Degagements,Err,Standard Gls,Tirs,Tirs_Cadres,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Aerial Duels Won,Aerial Duels Lost,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Valeur marchande (euros),90s_calcul,G_per90,G-PK_per90,A_per90,Tirs_per90,Tirs_Cadres_per90,xG_per90,xAG_per90,Interceptions_per90,Blocs_totaux_per90,uefa_coeff,Aerial_Wins_Pct,Dribble_Succ_Pct,Finishing_ratio,OSI_raw,PMI_raw,DSI_raw,Off Index,Playmaking Index,Def Index
Aaron Connolly,2021,ENG-Premier League,Brighton,IRL,FW,20.0,2000.0,17,9,791,8.8,2,1,3,2,0,0,0,0,4.0,4.0,0.2,4.2,12,4,58,0.23,0.11,0.34,0.23,0.34,0.45,0.02,0.48,0.45,0.48,8.8,6,3,1,3,2,0,2,2,4,0,4,0,6,2.0,0,2,23,8,2.62,0.91,0,0,0,72,94,76.6,844,176,51,65,78.5,14,16,87.5,0,1,1,0.1,0.8,6,3,1,0,4,7,31,174,1,12,57,108,35,174,11,5,6,106,652,276,12,11,5,27,8,134,58,6000000.0,8.78888888888889,0.2275341617262258,0.2275341617262258,0.1137670808631129,2.616642859851597,0.9101366469049034,0.4550683234524517,0.0227534161726225,0.0,0.4550683234524517,10.0,17.94871794871795,41.66666666666667,8.333333333333332,37.900000000000006,262.35128205128206,60.14871794871795,9.638973691082178,74.92953520014716,4.5576950476187745
Aaron Cresswell,2020,ENG-Premier League,West Ham,ENG,DF,30.0,1989.0,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35,162,96,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,35.2,32,13,15,15,2,18,32,14,29,14,15,32,64,79.0,2,0,19,4,0.54,0.11,11,0,0,1586,2141,74.1,28632,13845,754,847,89.0,606,755,80.3,198,429,8,5.0,1.5,58,174,26,18,162,35,29,2366,169,758,1071,555,14,2366,10,4,6,1148,5201,2524,35,31,0,13,9,1349,96,5000000.0,35.22222222222222,0.0,0.0,0.2271228892555101,0.5394168619818365,0.113561444627755,0.0283903611569387,0.1845373475201019,0.9084915570220404,0.8233204735512242,10.0,53.84615384615385,36.36363636363637,0.0,22.2,266.99930069930065,321.74615384615385,4.577706569008926,76.29879850438098,27.420794754729123
Aaron Cresswell,2021,ENG-Premier League,West Ham,ENG,DF,30.0,1989.0,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35,162,96,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,35.2,32,13,15,15,2,18,32,14,29,14,15,32,64,79.0,2,0,19,4,0.54,0.11,11,0,0,1586,2141,74.1,28632,13845,754,847,89.0,606,755,80.3,198,429,8,5.0,1.5,58,174,26,18,162,35,29,2366,169,758,1071,555,14,2366,10,4,6,1148,5201,2524,35,31,0,13,9,1349,96,3000000.0,35.22222222222222,0.0,0.0,0.2271228892555101,0.5394168619818365,0.113561444627755,0.0283903611569387,0.1845373475201019,0.9084915570220404,0.8233204735512242,10.0,53.84615384615385,36.36363636363637,0.0,22.2,266.99930069930065,321.74615384615385,4.577706569008926,76.29879850438098,27.420794754729123
Aaron Cresswell,2022,ENG-Premier League,West Ham,ENG,DF,32.0,1989.0,28,24,2235,24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4.0,35,145,82,0.0,0.04,0.04,0.0,0.04,0.01,0.15,0.16,0.01,0.16,24.8,21,11,12,7,2,12,31,19,21,11,10,27,48,56.0,0,0,9,1,0.36,0.04,4,0,0,1127,1448,77.8,18285,8587,626,670,93.4,387,497,77.9,100,206,1,2.9,-2.7,40,91,28,15,145,28,27,1607,97,507,668,438,13,1607,7,2,4,766,3497,1751,35,26,1,6,6,960,82,1200000.0,24.83333333333333,0.0,0.0,0.0402668348925546,0.362401514032992,0.0402668348925546,0.0120800504677663,0.1489872891024522,1.0872045420989758,0.8456035327436479,10.0,50.0,25.0,0.0,13.96,268.9,245.6,1.921347264175578,76.85872693882045,20.76577116198968
Aaron Cresswell,2023,ENG-Premier League,West Ham,ENG,"DF,FW",33.0,1989.0,11,4,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,4,26,6,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,4.8,3,2,1,1,1,2,3,1,5,3,2,3,6,7.0,0,0,0,0,0.0,0.0,0,0,0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,0,0.3,-0.4,5,15,4,0,26,6,3,326,18,125,141,61,1,326,1,0,1,169,522,220,4,5,0,0,2,210,6,900000.0,4.844444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0825517668371207,0.6191382512784058,1.0318970854640095,10.0,60.0,0.0,0.0,10.0,275.5,98.7,0.6447474040857643,78.80302589549434,7.927001028587812
Aaron Hickey,2020,ITA-Serie A,Bologna,SCO,DF,18.0,2002.0,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21,36,28,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,8.4,12,8,10,2,0,7,17,10,6,1,5,15,27,15.0,1,0,2,0,0.24,0.0,0,0,0,337,397,84.9,5489,1742,160,174,92.0,142,165,86.1,21,34,0,0.2,-0.1,2,30,3,1,36,6,5,495,26,149,235,115,8,495,16,7,9,282,1610,739,21,17,4,16,8,268,28,5000000.0,8.422222222222222,0.0,0.0,0.0,0.2374388265245551,0.0,0.0118719413262277,0.0118719413262277,1.7807911989341636,0.7123164795736654,8.0,50.0,41.17647058823529,0.0,8.52,294.17058823529413,149.5,0.16763432506229858,84.3032085055504,12.366820788811195
Aaron Hickey,2021,ITA-Serie A,Bologna,SCO,DF,18.0,2002.0,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21,36,28,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,8.4,12,8,10,2,0,7,17,10,6,1,5,15,27,15.0,1,0,2,0,0.24,0.0,0,0,0,337,397,84.9,5489,1742,160,174,92.0,142,165,86.1,21,34,0,0.2,-0.1,2,30,3,1,36,6,5,495,26,149,235,115,8,495,16,7,9,282,1610,739,21,17,4,16,8,268,28,18000000.0,8.422222222222222,0.0,0.0,0.0,0.2374388265245551,0.0,0.0118719413262277,0.0118719413262277,1.7807911989341636,0.7123164795736654,8.0,50.0,41.17647058823529,0.0,8.52,294.17058823529413,149.5,0.16763432506229858,84.3032085055504,12.366820788811195
Aaron Hickey,2022,ENG-Premier League,Brentford,SCO,DF,20.0,2002.0,26,23,1916,21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,41,81,47,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,21.3,38,26,27,11,0,18,32,14,18,7,11,17,55,32.0,1,0,11,2,0.52,0.09,0,0,0,695,838,82.9,10998,3275,373,411,90.8,265,310,85.5,46,80,1,0.6,0.6,6,62,13,4,81,14,22,1028,47,328,499,211,21,1028,45,17,18,616,3295,1802,41,17,3,16,13,624,47,25000000.0,21.288888888888888,0.0,0.0,0.0469706537793109,0.5166771915724209,0.0939413075586219,0.0187882615117244,0.0187882615117244,0.7985011142482868,0.8454717680275978,10.0,37.83783783783784,36.95652173913043,0.0,16.28,285.33396004700353,273.03783783783786,2.6692542529150645,81.70001957115518,23.163784048017973
Aaron Hickey,2023,ENG-Premier League,Brentford,SCO,DF,21.0,2002.0,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,7.9,16,9,9,3,4,7,7,0,7,3,4,3,19,10.0,0,0,7,1,0.88,0.13,0,0,0,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,0,0.1,-0.1,1,10,2,0,21,1,9,356,25,132,155,76,7,356,14,5,5,212,1107,505,9,3,1,14,5,225,13,28000000.0,7.9222222222222225,0.0,0.0,0.0,0.8834789437518406,0.1262112776788343,0.0252422555357668,0.0126211277678834,0.378633833036503,0.8834789437518406,10.0,9.090909090909092,33.33333333333333,0.0,13.440000000000001,289.1606060606061,104.0909090909091,1.753712939113279,82.82731409415635,8.398155845662341
Aaron Leya Iseka,2020,FRA-Ligue 1,Metz,BEL,FW,22.0,1997.0,21,12,1008,11.2,4,0,4,2,2,3,4,0,4.8,2.5,0.6,3.0,13,12,51,0.36,0.0,0.36,0.18,0.18,0.43,0.05,0.48,0.22,0.27,11.2,6,4,2,3,1,0,4,4,4,2,2,0,6,6.0,0,4,17,6,1.52,0.54,0,2,3,141,192,73.4,1753,277,89,106,84.0,29,46,63.0,6,9,0,0.4,-0.6,12,12,1,0,12,29,41,293,10,25,152,119,32,290,19,11,8,177,923,361,13,12,10,35,19,245,51,2500000.0,11.2,0.3571109722346219,0.1785554861173109,0.0,1.5177216319971434,0.5356664583519329,0.4285331666815463,0.0535666458351932,0.0,0.3571109722346219,8.498,40.845070422535215,55.00000000000001,11.11111111111111,36.657999999999994,262.9515211267606,81.94307042253523,9.238585553144913,75.10636008017865,6.462478448692148
