player,season,age,born,Minutes de jeu,# 90 min jouées,G,A,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,% dribble  réussis,% passes réussies,% passes courtes réussies,% passes moyennes réussies,% passes longues réussies,% duels aériens gagnés,xG / Tir,Valeur marchande (euros),Chevauchée avant  >5m,Passes avant >10m,Passes > 10m vers l'avant reçues,Tacles réussis qui gagnent la balle,Dribbles subis perdus,Blocs totaux,Interceptions,Tacles réussis + interceptions,Dégagements,Erreurs menant à un tir adverse,Tirs,Tirs cadrés,Distance totale des passes > 10m avant effectuées,Passes menant à un but,Touches ballon en jeu,Passes reçues,team,league,nation,pos
Aaron Connolly,2021.0,20.0,2000.0,791.0,8.8,0.23,0.11,0.34,0.23,0.34,0.45,0.02,0.48,0.45,0.48,0.4545454545454545,0.7659999999999999,0.785,0.875,0.0,0.1842105263157894,0.1739130434782608,6000000.0,1.3636363636363635,0.4545454545454545,6.59090909090909,0.6818181818181818,0.2272727272727272,0.4545454545454545,0.0,0.6818181818181818,0.2272727272727272,0.0,2.6136363636363638,0.9090909090909092,20.0,0.6818181818181818,19.77272727272727,15.227272727272728,Brighton,ENG-Premier League,IRL,FW
Aaron Cresswell,2020.0,30.0,1989.0,3170.0,35.2,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,0.4,0.741,0.89,0.8029999999999999,0.4615384615384615,0.546875,0.0526315789473684,5000000.0,0.9943181818181818,4.602272727272727,2.727272727272727,0.9090909090909092,0.3977272727272727,0.8238636363636362,0.9090909090909092,1.818181818181818,2.2443181818181817,0.0568181818181818,0.5397727272727272,0.1136363636363636,393.3238636363636,1.6477272727272725,67.21590909090908,38.32386363636363,West Ham,ENG-Premier League,ENG,DF
Aaron Cresswell,2021.0,30.0,1989.0,3170.0,35.2,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,0.4,0.741,0.89,0.8029999999999999,0.4615384615384615,0.546875,0.0526315789473684,3000000.0,0.9943181818181818,4.602272727272727,2.727272727272727,0.9090909090909092,0.3977272727272727,0.8238636363636362,0.9090909090909092,1.818181818181818,2.2443181818181817,0.0568181818181818,0.5397727272727272,0.1136363636363636,393.3238636363636,1.6477272727272725,67.21590909090908,38.32386363636363,West Ham,ENG-Premier League,ENG,DF
Aaron Cresswell,2022.0,32.0,1989.0,2235.0,24.8,0.0,0.04,0.04,0.0,0.04,0.01,0.15,0.16,0.01,0.16,0.2857142857142857,0.778,0.934,0.779,0.4854368932038835,0.509090909090909,0.0333333333333333,1200000.0,1.411290322580645,5.846774193548387,3.306451612903225,0.8467741935483871,0.7661290322580645,0.8467741935483871,1.0887096774193548,1.9354838709677415,2.258064516129032,0.0,0.3629032258064516,0.0403225806451612,346.25,1.6129032258064515,64.79838709677419,38.70967741935484,West Ham,ENG-Premier League,ENG,DF
Aaron Hickey,2020.0,18.0,2002.0,758.0,8.4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.4375,0.8490000000000001,0.92,0.861,0.6176470588235294,0.5454545454545454,0.05,5000000.0,2.5,4.285714285714286,3.333333333333333,1.4285714285714286,1.1904761904761905,0.7142857142857143,1.7857142857142856,3.214285714285714,1.7857142857142856,0.119047619047619,0.238095238095238,0.0,207.3809523809524,0.238095238095238,58.92857142857142,31.904761904761905,Bologna,ITA-Serie A,SCO,DF
Aaron Hickey,2021.0,18.0,2002.0,758.0,8.4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.4375,0.8490000000000001,0.92,0.861,0.6176470588235294,0.5454545454545454,0.05,18000000.0,2.5,4.285714285714286,3.333333333333333,1.4285714285714286,1.1904761904761905,0.7142857142857143,1.7857142857142856,3.214285714285714,1.7857142857142856,0.119047619047619,0.238095238095238,0.0,207.3809523809524,0.238095238095238,58.92857142857142,31.904761904761905,Bologna,ITA-Serie A,SCO,DF
Aaron Hickey,2022.0,20.0,2002.0,1916.0,21.3,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,0.3777777777777777,0.8290000000000001,0.9079999999999999,0.855,0.575,0.3888888888888889,0.0363636363636363,25000000.0,1.9248826291079808,3.8028169014084505,2.2065727699530515,1.784037558685446,0.6572769953051643,0.8450704225352113,0.7981220657276995,2.582159624413145,1.5023474178403755,0.0469483568075117,0.5164319248826291,0.0938967136150234,153.75586854460093,0.2816901408450704,48.262910798122064,29.295774647887324,Brentford,ENG-Premier League,SCO,DF
Aaron Hickey,2023.0,21.0,2002.0,713.0,7.9,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.3571428571428571,0.877,0.9570000000000001,0.868,0.7,0.1,0.0285714285714285,28000000.0,1.1392405063291138,2.6582278481012658,1.6455696202531644,2.0253164556962022,0.0,0.8860759493670886,0.3797468354430379,2.4050632911392404,1.2658227848101264,0.0,0.8860759493670886,0.1265822784810126,113.16455696202532,0.1265822784810126,45.063291139240505,28.481012658227847,Brentford,ENG-Premier League,SCO,DF
Aaron Leya Iseka,2020.0,22.0,1997.0,1008.0,11.2,0.36,0.0,0.36,0.18,0.18,0.43,0.05,0.48,0.22,0.27,0.5789473684210527,0.7340000000000001,0.84,0.63,0.6666666666666666,0.4142857142857143,0.2823529411764706,2500000.0,1.1607142857142858,1.0714285714285714,4.553571428571429,0.5357142857142857,0.3571428571428571,0.3571428571428571,0.0,0.5357142857142857,0.5357142857142857,0.0,1.517857142857143,0.5357142857142857,24.732142857142858,1.0714285714285714,25.892857142857142,21.875,Metz,FRA-Ligue 1,BEL,FW
Aaron Malouda,2023.0,17.0,2005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7929999999999999,0.88,0.848,,,,150000.0,,,,,,,,,,,0.0,0.0,,,,,Lille,FRA-Ligue 1,FRA,FW
Aaron Ramsdale,2020.0,22.0,1998.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.493,0.973,0.983,0.3577052868391451,0.7272727272727273,,12000000.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.0526315789473684,0.0789473684210526,0.5789473684210527,0.1578947368421052,0.0,0.0,506.10526315789474,0.0526315789473684,33.526315789473685,11.078947368421051,Sheffield Utd,ENG-Premier League,ENG,GK
Aaron Ramsdale,2021.0,22.0,1998.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.493,0.973,0.983,0.3577052868391451,0.7272727272727273,,28000000.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.0526315789473684,0.0789473684210526,0.5789473684210527,0.1578947368421052,0.0,0.0,506.10526315789474,0.0526315789473684,33.526315789473685,11.078947368421051,Sheffield Utd,ENG-Premier League,ENG,GK
